cmake 3.27.3
features core
portfile.cmake a10681f083277bb99d5d2948683aa5ff159c1ea1d72a8900f6c5b91629385b60
ports.cmake 5a8e00cedff0c898b1f90f7d129329d0288801bc9056562b039698caf31ff3f3
post_build_checks 2
powershell 7.2.11
triplet x64-windows
triplet_abi 4556164a2cd3dd6f4742101eabb46def7e71b6e5856faa88e5d005aac12a803c-e36df1c7f50ab25f9c182fa927d06c19ae082e0d599f132b3f655784b49e4b33-eb476c3f766fe4ea68d67b9e64036794d708d18a
vcpkg-cmake 68c3c19df1559b6b810f3af7c93acd20289d318a28f868bf15d3722fb688f908
vcpkg-cmake-config baa6b4f5cbbe8fbd5806896af6330dbe33a3a22e63209842cc6f4a78f09aa7bf
vcpkg-cmake-wrapper.cmake 0d357034611e2487496d7a296f87d16e37ac03fd3590b2421ea0a976b50f3241
vcpkg.json 81409dc71b2919b230d2329193e33c76960aca1b0b2485efb013dc33061409fd
vcpkg_copy_pdbs d57e4f196c82dc562a9968c6155073094513c31e2de475694143d3aa47954b1c
vcpkg_fixup_pkgconfig 588d833ff057d3ca99c14616c7ecfb5948b5e2a9e4fc02517dceb8b803473457
vcpkg_from_git 8f27bff0d01c6d15a3e691758df52bfbb0b1b929da45c4ebba02ef76b54b1881
vcpkg_from_github b743742296a114ea1b18ae99672e02f142c4eb2bef7f57d36c038bedbfb0502f
vcpkg_minimum_required 4da8ab803b83c8f1c7b6272298108b9f62a7cd0618e563242c8e584692534171
vcpkg_replace_string d43c8699ce27e25d47367c970d1c546f6bc36b6df8fb0be0c3986eb5830bd4f1
